Options,Accomodation Method,Accomodation Cost ,Transport Method,Transport Cost,Pros,Cons,Link,Unnamed: 8,est. Food Cost
Option 1: Stay at place about 40 min away for about R10k and uber/shuttle,AirBnB,Approx. R10 000 total,2 hour drive petrol x 2 + 40 min uber/shuttle/private driver to and from each day = ? ,,Party like baddies at a cute house pre and post event!,"Higher Cost Option, unless we book a shuttle, ubering is very risky",,,?
Option 2: 28 Min Away Farm,AirBnB,,,,Shortest distance away (other than the Apartheid farm),"No reviews, bit of a risk",,,
Option 3: Camp,Camp,R600-R4000 per person,1 hour 20 drive to and from,,Minimal Transport Cost ,"Sleeping outside, sharing toilets outside, showering outside",,,
Option 4: Commute from Home ,Stay at home ,,,,No accomodation cost,"Highest Transport Cost, lowkey boring",,,
Option 1.5: Stay at the 40 min place and rent a car,AirBnB,Approx. R10 000,Rental Car,,,,,,
